PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,TpFare,Titulo,Apellido,Nombre,Año_de_Nacimiento,Familiares,Familia
1,0,3ª Clase,Hombres,22.0,7.25,S,Muy Barato,Mr,Braund,Owen,1890,1,Con Familia
2,1,1ª Clase,Mujeres,38.0,71.2833,C,Muy Caro,Mrs,Cumings,John,1874,1,Con Familia
3,1,3ª Clase,Mujeres,26.0,7.925,S,Barato,Miss,Heikkinen,Laina,1886,0,Sin Familia
4,1,1ª Clase,Mujeres,35.0,53.1,S,Muy Caro,Mrs,Futrelle,Jacques,1877,1,Con Familia
5,0,3ª Clase,Hombres,35.0,8.05,S,Barato,Mr,Allen,William,1877,0,Sin Familia
6,0,3ª Clase,Hombres,32.0,8.4583,Q,Barato,Mr,Moran,James,1880,0,Sin Familia
7,0,1ª Clase,Hombres,54.0,51.8625,S,Muy Caro,Mr,McCarthy,Timothy,1858,0,Sin Familia
8,0,3ª Clase,Hombres,2.0,21.075,S,Caro,Master,Palsson,Gosta,1910,4,Con Familia
9,1,3ª Clase,Mujeres,27.0,11.1333,S,Barato,Mrs,Johnson,Oscar,1885,2,Con Familia
10,1,2ª Clase,Mujeres,14.0,30.0708,C,Caro,Mrs,Nasser,Nicholas,1898,1,Con Familia
11,1,3ª Clase,Mujeres,4.0,16.7,S,Caro,Miss,Sandstrom,Marguerite,1908,2,Con Familia
12,1,1ª Clase,Mujeres,58.0,26.55,S,Caro,Miss,Bonnell,Elizabeth,1854,0,Sin Familia
13,0,3ª Clase,Hombres,20.0,8.05,S,Barato,Mr,Saundercock,William,1892,0,Sin Familia
14,0,3ª Clase,Hombres,39.0,31.275,S,Muy Caro,Mr,Andersson,Anders,1873,6,Con Familia
15,0,3ª Clase,Mujeres,14.0,7.8542,S,Muy Barato,Miss,Vestrom,Hulda,1898,0,Sin Familia
16,1,2ª Clase,Mujeres,55.0,16.0,S,Caro,Mrs,Hewlett,,1857,0,Sin Familia
17,0,3ª Clase,Hombres,2.0,29.125,Q,Caro,Master,Rice,Eugene,1910,5,Con Familia
18,1,2ª Clase,Hombres,32.0,13.0,S,Barato,Mr,Williams,Charles,1880,0,Sin Familia
19,0,3ª Clase,Mujeres,31.0,18.0,S,Caro,Mrs,Planke,Julius,1881,1,Con Familia
20,1,3ª Clase,Mujeres,36.0,7.225,C,Muy Barato,Mrs,Masselmani,Fatima,1876,0,Sin Familia
21,0,2ª Clase,Hombres,35.0,26.0,S,Caro,Mr,Fynney,Joseph,1877,0,Sin Familia
22,1,2ª Clase,Hombres,34.0,13.0,S,Barato,Mr,Beesley,Lawrence,1878,0,Sin Familia
23,1,3ª Clase,Mujeres,15.0,8.0292,Q,Barato,Miss,McGowan,Anna,1897,0,Sin Familia
24,1,1ª Clase,Hombres,28.0,35.5,S,Muy Caro,Mr,Sloper,William,1884,0,Sin Familia
25,0,3ª Clase,Mujeres,8.0,21.075,S,Caro,Miss,Palsson,Torborg,1904,4,Con Familia
26,1,3ª Clase,Mujeres,38.0,31.3875,S,Muy Caro,Mrs,Asplund,Carl,1874,6,Con Familia
27,0,3ª Clase,Hombres,32.0,7.225,C,Muy Barato,Mr,Emir,Farred,1880,0,Sin Familia
28,0,1ª Clase,Hombres,19.0,263.0,S,Muy Caro,Mr,Fortune,Charles,1893,5,Con Familia
29,1,3ª Clase,Mujeres,22.0,7.8792,Q,Muy Barato,Miss,Dwyer,Ellen,1890,0,Sin Familia
30,0,3ª Clase,Hombres,32.0,7.8958,S,Muy Barato,Mr,Todoroff,Lalio,1880,0,Sin Familia
31,0,1ª Clase,Hombres,40.0,27.7208,C,Caro,Don,Uruchurtu,Manuel,1872,0,Sin Familia
32,1,1ª Clase,Mujeres,36.0,146.5208,C,Muy Caro,Mrs,Spencer,William,1876,1,Con Familia
33,1,3ª Clase,Mujeres,22.0,7.75,Q,Muy Barato,Miss,Glynn,Mary,1890,0,Sin Familia
34,0,2ª Clase,Hombres,66.0,10.5,S,Barato,Mr,Wheadon,Edward,1846,0,Sin Familia
35,0,1ª Clase,Hombres,28.0,82.1708,C,Muy Caro,Mr,Meyer,Edgar,1884,1,Con Familia
36,0,1ª Clase,Hombres,42.0,52.0,S,Muy Caro,Mr,Holverson,Alexander,1870,1,Con Familia
37,1,3ª Clase,Hombres,32.0,7.2292,C,Muy Barato,Mr,Mamee,Hanna,1880,0,Sin Familia
38,0,3ª Clase,Hombres,21.0,8.05,S,Barato,Mr,Cann,Ernest,1891,0,Sin Familia
39,0,3ª Clase,Mujeres,18.0,18.0,S,Caro,Miss,Planke,Augusta,1894,2,Con Familia
40,1,3ª Clase,Mujeres,14.0,11.2417,C,Barato,Miss,Yarred,Jamila,1898,1,Con Familia
41,0,3ª Clase,Mujeres,40.0,9.475,S,Barato,Mrs,Ahlin,Johan,1872,1,Con Familia
42,0,2ª Clase,Mujeres,27.0,21.0,S,Caro,Mrs,Turpin,William,1885,1,Con Familia
43,0,3ª Clase,Hombres,32.0,7.8958,C,Muy Barato,Mr,Kraeff,Theodor,1880,0,Sin Familia
44,1,2ª Clase,Mujeres,3.0,41.5792,C,Muy Caro,Miss,Laroche,Simonne,1909,3,Con Familia
45,1,3ª Clase,Mujeres,19.0,7.8792,Q,Muy Barato,Miss,Devaney,Margaret,1893,0,Sin Familia
46,0,3ª Clase,Hombres,32.0,8.05,S,Barato,Mr,Rogers,William,1880,0,Sin Familia
47,0,3ª Clase,Hombres,32.0,15.5,Q,Caro,Mr,Lennon,Denis,1880,1,Con Familia
48,1,3ª Clase,Mujeres,22.0,7.75,Q,Muy Barato,Miss,Driscoll,Bridget,1890,0,Sin Familia
49,0,3ª Clase,Hombres,32.0,21.6792,C,Caro,Mr,Samaan,Youssef,1880,2,Con Familia
50,0,3ª Clase,Mujeres,18.0,17.8,S,Caro,Mrs,Franchi,Josef,1894,1,Con Familia
51,0,3ª Clase,Hombres,7.0,39.6875,S,Muy Caro,Master,Panula,Juha,1905,5,Con Familia
52,0,3ª Clase,Hombres,21.0,7.8,S,Muy Barato,Mr,Nosworthy,Richard,1891,0,Sin Familia
53,1,1ª Clase,Mujeres,49.0,76.7292,C,Muy Caro,Mrs,Harper,Henry,1863,1,Con Familia
54,1,2ª Clase,Mujeres,29.0,26.0,S,Caro,Mrs,Faunthorpe,Lizzie,1883,1,Con Familia
55,0,1ª Clase,Hombres,65.0,61.9792,C,Muy Caro,Mr,Ostby,Engelhart,1847,1,Con Familia
56,1,1ª Clase,Hombres,32.0,35.5,S,Muy Caro,Mr,Woolner,Hugh,1880,0,Sin Familia
57,1,2ª Clase,Mujeres,21.0,10.5,S,Barato,Miss,Rugg,Emily,1891,0,Sin Familia
58,0,3ª Clase,Hombres,28.5,7.2292,C,Muy Barato,Mr,Novel,Mansouer,1884,0,Sin Familia
59,1,2ª Clase,Mujeres,5.0,27.75,S,Caro,Miss,West,Constance,1907,3,Con Familia
60,0,3ª Clase,Hombres,11.0,46.9,S,Muy Caro,Master,Goodwin,William,1901,7,Con Familia
61,0,3ª Clase,Hombres,22.0,7.2292,C,Muy Barato,Mr,Sirayanian,Orsen,1890,0,Sin Familia
62,1,1ª Clase,Mujeres,38.0,80.0,S,Muy Caro,Miss,Icard,Amelie,1874,0,Sin Familia
63,0,1ª Clase,Hombres,45.0,83.475,S,Muy Caro,Mr,Harris,Henry,1867,1,Con Familia
